event_id,triggers
E_DEBT_003,2850
E_DEBT_012,2849
E_DEBT_019,2824
E_DEBT_023,2811
E_DEBT_008,2797
E_DEBT_015,2792
E_DEBT_007,2789
E_DEBT_002,2786
E_DEBT_024,2786
E_DEBT_004,2777
E_DEBT_005,2768
E_DEBT_018,2763
E_DEBT_009,2761
E_DEBT_010,2760
E_DEBT_001,2759
E_DEBT_020,2754
E_DEBT_016,2744
E_DEBT_013,2743
E_DEBT_014,2734
E_DEBT_025,2733
E_DEBT_022,2730
E_DEBT_011,2729
E_DEBT_006,2725
E_DEBT_021,2717
E_DEBT_017,2658
E_JOB_008,2411
E_JOB_003,2405
E_JOB_009,2405
E_JOB_018,2395
E_JOB_013,2395
E_JOB_024,2371
E_CAR_014,2370
E_JOB_007,2367
E_JOB_016,2361
E_JOB_021,2359
E_JOB_011,2358
E_JOB_025,2356
E_JOB_010,2355
E_JOB_014,2351
E_JOB_015,2350
E_JOB_005,2350
E_JOB_012,2348
E_JOB_001,2344
E_CAR_021,2343
E_JOB_020,2336
E_JOB_023,2335
E_CAR_002,2334
E_JOB_017,2325
E_CAR_007,2325
E_CAR_015,2321
E_CAR_013,2319
E_CAR_016,2318
E_CAR_023,2313
E_JOB_019,2313
E_CAR_005,2312
E_CAR_008,2311
E_CAR_012,2307
E_CAR_017,2304
E_CAR_022,2303
E_JOB_022,2301
E_HOUSE_009,2301
E_CAR_011,2300
E_JOB_004,2298
E_CAR_010,2298
E_CAR_020,2293
E_CAR_024,2288
E_HOUSE_011,2288
E_CAR_019,2287
E_CAR_009,2287
E_CAR_003,2287
E_HOUSE_014,2282
E_CAR_018,2282
E_CAR_025,2282
E_JOB_002,2281
E_JOB_006,2280
E_HOUSE_005,2271
E_CAR_004,2267
E_HOUSE_015,2262
E_ADM_025,2257
E_HOUSE_004,2255
E_HOUSE_016,2254
E_CAR_001,2252
E_ADM_004,2251
E_HOUSE_021,2246
E_HOUSE_017,2241
E_HOUSE_002,2235
E_HOUSE_022,2234
E_HOUSE_012,2232
E_HOUSE_001,2231
E_CAR_006,2228
E_HOUSE_013,2226
E_HOUSE_020,2220
E_HOUSE_019,2216
E_ADM_003,2216
E_HOUSE_024,2215
E_ADM_008,2214
E_ADM_020,2209
E_HOUSE_008,2208
E_ADM_023,2206
E_HOUSE_023,2205
E_ADM_002,2205
E_ADM_015,2205
E_ADM_010,2200
E_ADM_014,2199
E_HOUSE_003,2198
E_ADM_017,2195
E_HOUSE_010,2195
E_HOUSE_006,2194
E_ADM_016,2194
E_ADM_024,2191
E_HOUSE_007,2190
E_ADM_019,2186
E_ADM_012,2185
E_ADM_001,2179
E_ADM_013,2175
E_ADM_006,2171
E_ADM_007,2167
E_ADM_021,2164
E_HOUSE_025,2162
E_ADM_022,2157
E_HOUSE_018,2154
E_ADM_009,2146
E_ADM_018,2143
E_ADM_005,2134
E_HEALTH_020,2122
E_HEALTH_017,2120
E_HEALTH_021,2109
E_SOC_014,2106
E_SOC_005,2105
E_SOC_007,2103
E_SOC_010,2103
E_ADM_011,2103
E_SOC_003,2085
E_HEALTH_004,2084
E_HEALTH_007,2084
E_SOC_009,2080
E_SOC_015,2080
E_HEALTH_024,2079
E_HEALTH_014,2075
E_HEALTH_022,2074
E_HEALTH_023,2072
E_HEALTH_011,2071
E_SOC_006,2071
E_HEALTH_013,2070
E_SOC_016,2069
E_SOC_011,2069
E_HEALTH_015,2068
E_HEALTH_010,2064
E_SOC_008,2063
E_HEALTH_008,2061
E_HEALTH_018,2060
E_SOC_025,2060
E_SOC_021,2059
E_HEALTH_002,2059
E_SOC_002,2056
E_SOC_022,2056
E_SOC_020,2053
E_HEALTH_016,2052
E_HEALTH_005,2050
E_SOC_017,2048
E_SOC_024,2045
E_HEALTH_025,2044
E_SOC_019,2044
E_HEALTH_001,2041
E_HEALTH_006,2032
E_SOC_001,2031
E_SOC_013,2028
E_SOC_023,2027
E_HEALTH_003,2026
E_HEALTH_012,2025
E_HEALTH_009,2018
E_HEALTH_019,2016
E_SOC_018,2015
E_SOC_004,2008
E_SOC_012,2003
E_MNY_013,1929
E_MNY_004,1926
E_MNY_003,1884
E_MNY_005,1882
E_MNY_020,1878
E_MNY_007,1872
E_MNY_025,1868
E_MNY_017,1864
E_MNY_015,1860
E_MNY_023,1858
E_MNY_011,1856
E_MNY_009,1856
E_MNY_002,1856
E_MNY_006,1837
E_MNY_001,1836
E_MNY_019,1835
E_MNY_014,1835
E_MNY_012,1833
E_MNY_021,1832
E_MNY_010,1830
E_MNY_008,1829
E_MNY_016,1825
E_MNY_018,1822
E_MNY_022,1815
E_MNY_024,1814
